2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,316 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,316 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,316 INFO Time elapsed for lookup_pairs parse: 0.00801587104797
2014-10-05 23:06:04,322 INFO Whitelist called
2014-10-05 23:06:04,323 INFO Parsing pair_id: 10215
2014-10-05 23:06:04,323 WARNING Disjointers: I-290 and I-395
2014-10-05 23:06:04,323 INFO Parsing pair_id: 10214
2014-10-05 23:06:04,323 WARNING Disjointers: I-290 and I-90
2014-10-05 23:06:04,323 INFO Parsing pair_id: 10216
2014-10-05 23:06:04,323 WARNING Disjointers: I-395 and I-290
2014-10-05 23:06:04,323 INFO Parsing pair_id: 10109
2014-10-05 23:06:04,323 INFO Parsing pair_id: 10108
2014-10-05 23:06:04,323 WARNING Disjointers: I-495 and I-90
2014-10-05 23:06:04,323 INFO Parsing pair_id: 5508
2014-10-05 23:06:04,323 INFO Parsing pair_id: 5509
2014-10-05 23:06:04,323 INFO Parsing pair_id: 5506
2014-10-05 23:06:04,323 INFO Parsing pair_id: 5507
2014-10-05 23:06:04,323 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,323 INFO Parsing pair_id: 5504
2014-10-05 23:06:04,323 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5505
2014-10-05 23:06:04,324 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5502
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5503
2014-10-05 23:06:04,324 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5500
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5501
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10185
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5587
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5584
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10186
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10181
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5583
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5580
2014-10-05 23:06:04,324 WARNING Disjointers: I-495 and I-93
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5581
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10189
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10188
2014-10-05 23:06:04,324 INFO Parsing pair_id: 5588
2014-10-05 23:06:04,324 INFO Parsing pair_id: 10356
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10357
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10358
2014-10-05 23:06:04,325 WARNING Disjointers: Kneeland and I-90
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10359
2014-10-05 23:06:04,325 WARNING Disjointers: 93 and I-90
2014-10-05 23:06:04,325 INFO Parsing pair_id: 5511
